L.S.1	L.S.2	L.S.3	L.S.4	L.S.5
2	0	0	0	0
0	0	0	0	1
1	0	1	0	0
1	0	0	0	1
0	35	0	0	0
0	0	0	0	2
1	0	1	0	1
1	1	0	0	0
0	0	0	0	0
1	0	0	0	3
1	0	0	0	1
0	0	0	0	2
1	0	0	0	2
1	0	0	0	1
1	0	0	0	2
0	0	0	0	0
1	0	0	0	1
0	0	0	0	1
1	0	0	0	0
0	0	0	0	0
0	0	0	0	1
0	0	0	0	0
1	1	0	0	0
0	4	0	0	0
0	0	0	0	0
1	0	0	0	4
1	0	0	0	1
2	0	0	0	0
0	4	0	0	2
3	1	0	7	6
1	0	1	0	0
1	15	1	0	0
0	0	1	0	1
1	10	1	4	0
1	2	0	0	2
0	0	0	11	0
3	1	0	0	0
0	0	0	0	2
1	0	0	0	0
2	0	1	0	5
0	43	0	0	3
1	2	2	0	3
1	0	0	0	1
0	0	0	0	0
0	5	0	15	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
